"Table S2 Zricon composation of igneous rocks from diferent phases of the Guichon Greek batholith in the highland valley porphyry copper district, Canada",,,,,,,,,,,,,,,,,,,,,,,
Sample No.,Rock type,Zricon ID,Age,Ti,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,Hf,Ce_zhong,Eu_zhong,Eu_Zhong/Y,Ce/Nd,(Ce/Nd)/Y
MA038,Gui-Chat sub-facies,RLP2L1-10B,210.42,9.3,11.2,0.63,1.75,0.249,8.74,3.34,42.25,16.87,82.4,18.4,178.8,36.69,545.1,9402,593.0366716,0.170470572,0.000312733,17.77777778,0.032613792
MA038,Gui-Chat sub-facies,RLP2L1-12,210.42,44,14.06,1.48,2.24,0.495,11.88,3.84,48.6,19.16,93.8,21.09,210,44.3,616,8550,292.9054927,0.231845548,0.000376373,9.5,0.015422078
MA038,Gui-Chat sub-facies,RLP2L1-13,210.42,6.4,12.05,1.07,2.8,0.464,14.2,4.89,61.5,24,113.7,25.7,249,50.7,762,10150,328.8280717,0.203683586,0.000267301,11.26168224,0.014779111
MA038,Gui-Chat sub-facies,RLP2L1-14A,210.42,7.9,17,1.4,3.81,0.509,18.2,6.31,82.3,32.4,159,37.6,367,75.9,1062,11200,392.8886497,0.16755419,0.000157772,12.14285714,0.011433952
MA038,Gui-Chat sub-facies,RLP2L1-14B,210.42,12.4,23.01,5.02,9.73,2.01,45.1,13.57,161.8,56.8,251,51.4,457,89.4,1810,8410,77.0127066,0.272790855,0.000150713,4.583665339,0.002532412
MA038,Gui-Chat sub-facies,RLP2L1-15A,210.42,10.1,13.68,2.86,6.31,1.21,26,7.82,92.7,33.63,151.2,30.87,282.4,55.52,1048,8693,80.04709613,0.277296821,0.000264596,4.783216783,0.004564138
MA038,Gui-Chat sub-facies,RLP2L1-15B,210.42,11,10.95,0.43,1.35,0.246,7.82,2.65,34.1,12.85,63.9,14.36,137.1,28.64,419,9480,812.4662812,0.219779326,0.000524533,25.46511628,0.060775934
MA038,Gui-Chat sub-facies,RLP2L1-17A,210.42,12.9,9.96,0.98,2.68,0.58,12.3,3.81,50.3,18.3,85.5,18.52,172,35,583,9590,231.0736387,0.29769271,0.000510622,10.16326531,0.017432702
MA038,Gui-Chat sub-facies,RLP2L1-17B,210.42,10,11.22,0.49,1.59,0.35,9.13,3.14,42.1,16.77,83.5,18.53,177,36.9,534,9780,804.6704727,0.261883895,0.000490419,22.89795918,0.042880073
MA038,Gui-Chat sub-facies,RLP2L1-18A,210.42,12.8,12,0.82,3.12,0.554,14.9,4.9,61.8,23.1,111.7,23.6,218,44.5,734,9780,354.0437827,0.257237616,0.00035046,14.63414634,0.019937529
MA038,Gui-Chat sub-facies,RLP2L1-18B,210.42,11.1,12.59,0.75,1.74,0.374,10.49,3.42,45.8,17.53,87.5,19.41,186.5,40,557,9520,566.4208306,0.233712191,0.000419591,16.78666667,0.030137642
MA038,Gui-Chat sub-facies,RLP2L1-19,210.42,12.9,6.93,0.32,1.39,0.255,5.82,2.08,28,10.52,51.9,11.52,111.5,23.06,335,9560,617.1822905,0.278476959,0.000831275,21.65625,0.064645522
MA038,Gui-Chat sub-facies,RLP2L1-20,210.42,9.7,12,1.45,3.22,0.69,16.3,4.86,59.8,21.9,104,21.8,195,40.8,685,9450,176.3352181,0.273589521,0.000399401,8.275862069,0.01208155
SM059,Guichon sub-facies,RLP2L2-1A,210.77,15.1,14.15,3.99,7.12,1.35,25.8,7.84,91.5,33.1,149.6,30.3,267,53.6,1003,9260,53.78622569,0.277318546,0.000276489,3.546365915,0.003535759
SM059,Guichon sub-facies,RLP2L2-1B,210.77,13.5,10.88,1.56,3.67,0.79,14.5,4.61,55.2,20.17,94.1,19.54,179.6,37.1,621,9770,130.6844011,0.313673521,0.00050511,6.974358974,0.011230852
